,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
0,2020-07-09,France,170086.0,169473.0,29959.0,29965.0,613.0,-6.0
0,2020-07-09,China,84972.0,84950.0,4650.0,4641.0,22.0,9.0
0,2020-07-09,Italy,242297.0,242149.0,34931.0,34914.0,148.0,17.0
0,2020-07-08,Spain,253329.0,252513.0,28409.0,28396.0,816.0,13.0
0,2020-07-09,United States,3041529.0,3055004.0,132034.0,132309.0,-13475.0,-275.0
0,2020-07-09,World,12025238.0,12017118.0,548799.0,549276.0,8120.0,-477.0
0,2020-07-09,United Kingdom,287223.0,286979.0,44470.0,44517.0,244.0,-47.0
0,2020-07-09,Germany,197803.0,197783.0,9052.0,9048.0,20.0,4.0
0,2020-07-09,Iran,248923.0,248379.0,12073.0,12084.0,544.0,-11.0
0,2020-07-09,Turkey,208928.0,208938.0,5275.0,5282.0,-10.0,-7.0
0,2020-07-09,Brazil,1708615.0,1713160.0,67745.0,67964.0,-4545.0,-219.0
